"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;;;;;;;;
"1620810863568650244,""2023-02-01T15:47:02.000Z"",""0"",""dia ga ngapa2in = gue yg kena omel. dblgnya """"""""kaka kamu udh capek kerja"""""""" KONTOL"",""1620810969072160770"","""",""sneakypou"",""in"","""",""0"",""1"",""0"",""https://x.com/sneakypou/status/1620810969072160770"",""1219566191959691264"",""sneakypou""";;;;;;;;;;;;;
"1620810616398311424,""2023-02-01T15:45:38.000Z"",""0"",""Ini w yg egois apa gimana si orang dia capek kerja sampe malem juga😌"",""1620810616398311424"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/araysnaaa/status/1620810616398311424"",""1166974267470172160"",""araysnaaa""";;;;;;;;;;;;;
"1620667011176239105,""2023-02-01T15:35:25.000Z"",""0"",""@Takebytissa13 @sjrdne @tanyarlfes Vitamin waktu hamil itu gak sesepele vitamin pas sebelum nikah biar gak capek kerja kak, gitu sih kata ibuku 😅 gak bisa dipukul rata buat juga, yang dibutuhkan tiap ibu hamil itu beda² tergantung hasil pemeriksaan dokter obsgyn.."",""1620808045340262401"","""",""Takebytissa13"",""in"","""",""0"",""0"",""0"",""https://x.com/solagluu/status/1620808045340262401"",""902689048820555776"",""solagluu""";;;;;;;;;;;;;
"1620807921792843776,""2023-02-01T15:34:56.000Z"",""0"",""Kalau Mas Yeyo kaya gini, gimana Adek nggak makin naksir coba. Mas yang udah capek kerja seharian, dengerin Adek cerita panjang banget, tapi masih sempetin waktunya buat temenin Adek. Masih minta Adek buat ceritain semuanya sambil Mas pats-pats Adek. Sayaaang banget sama Mas. 🤍 https://t.co/OXIAS8D8cr"",""1620807921792843776"",""https://pbs.twimg.com/media/Fn5ENnoaMAAEvLp.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/zielprops/status/1620807921792843776"",""1452307937272209424"",""zielprops""";;;;;;;;;;;;;
"1620803870661431297,""2023-02-01T15:18:50.000Z"",""0"",""Lagu bss yang 7pm kayaknya bakal jadi favorite gue deh!? Baru denger dikit aja udah tau, tuh lagu bakal balikin mood gue setelah seharian capek kerja 🥹❤️"",""1620803870661431297"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/seokwoncarts/status/1620803870661431297"",""1529847324557447168"",""seokwoncarts""";;;;;;;;;;;;;
"1620802574277558272,""2023-02-01T15:13:41.000Z"",""7"",""info papi gula, dah capek kerja"",""1620802574277558272"","""","""",""in"","""",""0"",""2"",""0"",""https://x.com/lacostegurll/status/1620802574277558272"",""706457912063856640"",""lacostegurll""";;;;;;;;;;;;;
"1620801534656413696,""2023-02-01T15:09:33.000Z"",""0"",""yang evening corse bener” langsung berasa vibes jalan pulang setelah capek kerja/kampus🥹🥹🥹"",""1620801534656413696"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/jnonuwu/status/1620801534656413696"",""879661703893467136"",""jnonuwu""";;;;;;;;;;;;;
"1620800445731209217,""2023-02-01T15:05:13.000Z"",""0"",""""""""""Bentar gua terlalu capek kerja sampai lupa fangirling"""""""" -@disforus"",""1620800445731209217"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/eunjipacarbrian/status/1620800445731209217"",""1403422685942542336"",""eunjipacarbrian""";;;;;;;;;;;;;
"1620798336872878082,""2023-02-01T14:56:51.000Z"",""0"",""Ada masanya capek kerja bolak balik gini, tapi yang pasti tetap bersyukur"",""1620798336872878082"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/wulandevifitria/status/1620798336872878082"",""270327698"",""wulandevifitria""";;;;;;;;;;;;;
"1620795579428392960,""2023-02-01T14:45:53.000Z"",""1"",""Me: hmm gaji ku dikit";" Also me: *scrolling shopee"","" tokped"","" lazada berhari2* enaknya beli apa nih";" *capek scroll* dahlah gaji dikit juga"","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;
"*gabut lagi* bagus semua,"" okesip masuk keranjang"""""",""1620795579428392960"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/marmarcake_/status/1620795579428392960"",""1010829638"",""marmarcake_"","""",""""";;;;;;;;;;;;;
"1620788740116586497,""2023-02-01T14:18:43.000Z"",""1"",""lagi capek kerja nihh, setiap hari ngeluh tapi tetep aja berangkat kerja dari pagi sampe malemm"",""1620788740116586497"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/jowoyeka/status/1620788740116586497"",""1522540009810587648"",""jowoyeka""";;;;;;;;;;;;;
"1620773020582428674,""2023-02-01T13:16:15.000Z"",""0"",""capek kerja ilang kalo abis tlp bojo @aiyu_asayaka"",""1620773020582428674"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/bojonedhani/status/1620773020582428674"",""808911297396019201"",""bojonedhani""";;;;;;;;;;;;;
"1620768798273060864,""2023-02-01T12:59:28.000Z"",""0"",""Kadang pengen ngeluh capek kerja, tapi sadar pernah berada di titik capek banget nyari kerja..."",""1620768798273060864"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/Immah_02/status/1620768798273060864"",""1135927901889519616"",""Immah_02""";;;;;;;;;;;;;
"1620760607665582080,""2023-02-01T12:57:24.000Z"",""0"",""Ah tapi kalau akhirnya gak ada live streaming minggu ini hanya bisa pasrah dan sabar aja. Mau marah percuma juga. Hak mereka mau nayangin streaming atau gak. Capek juga minta"""""""". Udah capek kerja masa capek juga di sosmed."",""1620768277650894850"","""",""ganda_akay"",""in"","""",""0"",""0"",""0"",""https://x.com/ganda_akay/status/1620768277650894850"",""283901096"",""ganda_akay""";;;;;;;;;;;;;
"1620765673696956417,""2023-02-01T12:50:55.000Z"",""4"",""@JadineGood Lope lopeku kak olwessss,capek kerja baca beginian,hilanglah lelahku😚"",""1620766645349404677"","""",""JadineGood"",""in"","""",""0"",""0"",""0"",""https://x.com/zie_mel85/status/1620766645349404677"",""1604158296646365184"",""zie_mel85""";;;;;;;;;;;;;
"1620766615838113795,""2023-02-01T12:50:48.000Z"",""0"",""Capek kerja nonton noktah merah perkawinan malah jadi capek mental"",""1620766615838113795"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/kasihhdaeli/status/1620766615838113795"",""1172849975736168449"",""kasihhdaeli""";;;;;;;;;;;;;
"1620763665824903168,""2023-02-01T12:39:04.000Z"",""0"",""capek kerja malah bikin overthinking sm yg lain pas sampe rumah heu"",""1620763665824903168"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/_nichtglauben/status/1620763665824903168"",""102071354"",""_nichtglauben""";;;;;;;;;;;;;
"1620762075965575168,""2023-02-01T12:32:45.000Z"",""0"",""Ga Usah ngerasa paling capek! Kerja mu baru gitu gitu doang"","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;
"Page 6/365"",""1620762075965575168"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/opisopi27/status/1620762075965575168"",""1252878308691161090"",""opisopi27"","""","""",""""";;;;;;;;;;;;;
"1620761604014092288,""2023-02-01T12:30:53.000Z"",""0"",""Capek kerja. Peng jadi orang kaya🫠😒"",""1620761604014092288"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/aquariuss182/status/1620761604014092288"",""585417295"",""aquariuss182""";;;;;;;;;;;;;
"1620761343547822080,""2023-02-01T12:29:51.000Z"",""0"",""capek kerja terus g kerja ga dpt duit 😭😭"",""1620761343547822080"","""","""",""in"","""",""0"",""3"",""0"",""https://x.com/tigerbear__/status/1620761343547822080"",""1594552205201133569"",""tigerbear__""";;;;;;;;;;;;;
